designation,split,y,w,aov_F,amp_snr,max_phase_gap,n_cycles_observed,n_points,loo_worst_chi2,power_ratio,fap,n_visits,n_sectors,baseline_hr,n_outliers_rejected,frac_points_stacked,phase_angle_range_deg,median_n_stack,pk_over_med,pk_prom,pk_snr
(37833) 1998 BL39,lcdb,0,1.0,2.180169034931774,0.9311474118220552,0.0241722128599213,212.64429414640756,303.0,1.4280467546254072,1.0,0.0397124242399156,6,1,615.5612086227047,0,1.0,0.5006884251626502,6.0,15.899562523849063,2.2820440635986032,14.051963082755211
(37841) 1998 DQ4,lcdb,1,0.6,39.4323724961146,2.5277595846465473,0.0033154726071015,57.04303364284926,1176.0,1.804591693761073,1.0,1.3755368392339062e-99,4,1,429.3289935060893,1,0.0,4.573696983912022,1.0,218.1244255312185,7.754121577599463,211.36765467623
(37854) 1998 EY11,lcdb,0,0.6,7.316166297307893,0.6543274737666279,0.0020422231829136,122.00645836799504,3174.0,1.90125932703086,1.0,2.4087411340536457e-11,9,2,1103.2421106226975,0,0.0,19.56703987496983,1.0,37.55957133862054,4.523028861486889,35.684424606464205
(37882) 1998 FE49,lcdb,1,0.6,332.2860220312794,13.045185725725675,0.0036774213100091,32.048386515676505,757.0,,1.0,0.0,2,1,192.99419034272432,9,0.0013054830287206,3.570270383333561,1.0,1377.9610855555427,6.4304055815074035,1211.8554619149957
(37906) 1998 FR73,lcdb,1,0.2,2.254601953850063,3.825299038300459,0.0584420336427181,124.89055105397146,83.0,6.659390469599477,1.0,0.450362629974245,3,1,363.66910144494614,1,1.0,1.9060416808261196,13.0,9.803497244056636,1.5249505968361488,8.371416976972714
(37916) 1998 FN101,lcdb,0,0.4,4.985873526736039,0.7499185534149527,0.007313209228429,8.676110492769899,1153.0,1.5500899554508831,1.0,4.417695874678175e-08,8,2,1197.7148326906026,8,1.0,14.16464394981735,2.0,40.21317119874892,5.580708390160026,38.18585511641578
(37924) 1998 FB114,lcdb,1,0.2,4.649947893928423,1.3259070700253992,0.0165118561347227,187.10802291387336,371.0,1.2616843610116109,1.0,2.442245803909495e-09,5,2,626.6616939784144,3,1.0,8.812406315584969,3.0,38.55615528386789,4.732739750833663,35.80299168957329
(37928) 1998 FO121,lcdb,1,0.2,2.092115045152811,2.121149912045989,0.041761563873792,701.0364698741835,111.0,2.1714937213947008,1.0,0.0715540524374143,9,3,1828.7747394132896,4,1.0,7.411085612443175,16.0,15.640577919596057,2.2009284814093295,14.029066612195114
(37930) 1998 FG123,lcdb,1,0.6,98.96472639227656,5.182062849305176,0.0039637317205512,11.80612083070024,861.0,,1.0,1.3282772142434891e-168,2,1,178.6572342189029,4,0.0,0.5503568446574718,1.0,703.2479802829293,10.949952756253964,606.6677137874086
(37947) 1998 HJ20,lcdb,1,0.2,1.6255491770045198,1.6408401710721958,0.0659916382497118,687.5040050311444,75.0,1.4953866525940491,1.0,0.0752186133516368,8,3,1347.0329885325043,0,1.0,4.171185374909225,34.0,11.612382010479546,1.8836152143160771,10.309363091827755
