Number,Name,published_rot_per_hr,U,U_clean,Albedo,period_updated,period_source,period_hr,harmonic_n,harmonic_offset,designation,aov_F,n_points,reliability_score,is_reliable,n_phase_coverings,theta_ours,theta_lcdb,theta_lcdb_harm,null_p5,ours_det,lcdb_det,lcdb_harm_det,vetted,bin,period_hr_naive,justified,ratio
79613,1998 RJ56,36.8845,2,2.0,0.2,93.52074041755262,TESS_replaces_wrong_LCDB,93.52074041755262,,0.267751229073901,(79613) 1998 RJ56,3.2702262589568543,548.0,0.1097571855105417,False,1.0,0.9448259761357048,1.0155567900572011,0.969292092576779,0.945085129659808,True,False,False,False,"(3.0, 6.0]",46.76037020877631,False,2.535502458147802
48158,2001 GM9,1.78,-,,0.057,57.05799791188641,TESS_replaces_wrong_LCDB,57.05799791188641,,15.027527503338876,(48158) 2001 GM9,3.5372641023881273,434.0,0.2993265149361848,False,1.0,0.9138309567231088,1.015482511532214,0.9975840864346084,0.9428207338490155,True,False,False,False,"(3.0, 6.0]",28.528998955943205,False,32.055055006677755
66832,1999 UE45,6.5,2,2.0,0.1,192.24236542899263,TESS_replaces_wrong_LCDB,192.24236542899263,,13.787874263768664,(66832) 1999 UE45,3.6034928535953616,584.0,0.0839565358923936,False,1.0,0.8362097441070309,1.0138072303996482,1.0073268515015827,0.936981111782063,True,False,False,False,"(3.0, 6.0]",192.24236542899263,False,29.57574852753733
33381,1999 CD33,26.0057,2,2.0,0.2,212.62118868893333,TESS_replaces_wrong_LCDB,212.62118868893333,,3.0879728038263403,(33381) 1999 CD33,3.889646655279635,175.0,0.0034813427300275,False,2.0,0.825278505752269,0.9729061056738932,0.9532906113144392,0.9150522531693476,True,False,False,False,"(3.0, 6.0]",106.31059434446668,False,8.17594560765268
91199,Johngray,39.7637,2,2.0,0.07,3.635782221385554,TESS_replaces_wrong_LCDB,3.635782221385554,,0.8171305878786153,(91199) Johngray,5.137230561902176,1560.0,0.9095691320252476,True,36.0,0.967642075392722,0.9974697926549804,0.997299598710895,0.981112297310426,True,False,False,False,"(3.0, 6.0]",1.817891110692777,True,0.0914347060606924
61358,2000 PK12,2.57,2-,2.0,0.19,93.3803894509668,TESS_replaces_wrong_LCDB,93.3803894509668,,17.167390943767863,(61358) 2000 PK12,4.389671852599324,786.0,0.1016946588143131,False,3.0,0.9062403691841632,1.0059357588379323,1.0028170868415367,0.9476637888385644,True,False,False,False,"(3.0, 6.0]",46.690194725483394,False,36.334781887535726
70970,1999 XH20,9.854,1,1.0,0.1,240.0,TESS_replaces_wrong_LCDB,240.0,,11.17779581895677,(70970) 1999 XH20,4.31937795923643,2411.0,0.0165738211857293,False,2.0,0.9828865571484228,1.0050192834010805,0.9970298563044292,0.9829943964264632,True,False,False,False,"(3.0, 6.0]",240.0,False,24.35559163791354
8210,NANTEN,43.3718,2,2.0,0.2,3.62800901959222,TESS_replaces_wrong_LCDB,3.62800901959222,,0.8327019390667567,(8210) NANTEN,4.110403435428755,2626.0,0.9130453217477772,True,51.0,0.9809912769388068,0.9941913036864908,0.9939084801199498,0.9903984177150011,True,False,False,False,"(3.0, 6.0]",1.81400450979611,True,0.08364903046662163
97038,1999 UX14,5.31,2,2.0,0.19,120.84519416605592,TESS_replaces_wrong_LCDB,120.84519416605592,,10.379020166295286,(97038) 1999 UX14,4.138725715950008,769.0,0.0231808557654586,False,3.0,0.9282535021352044,0.9842056156587616,0.9906722872514314,0.9506263050295504,True,False,False,False,"(3.0, 6.0]",60.422597083027966,False,22.75804033259057
7218,Skacel,7.56,2,2.0,0.2,111.7884399721784,TESS_replaces_wrong_LCDB,111.7884399721784,,6.393415342075291,(7218) Skacel,5.847115884064036,137.0,0.0563985808465436,False,1.0,0.703529301445319,1.0062810885748827,1.0065582548936671,0.8768764290843477,True,False,False,False,"(3.0, 6.0]",55.8942199860892,False,14.786830684150582
