Number,Name,Period,U,U_clean,Albedo,period_updated,period_source,tess_period_hr,harmonic_n,harmonic_offset,designation,aov_F,n_points,reliability_score,is_reliable,n_phase_coverings,theta_ours,theta_lcdb,theta_lcdb_harm,null_p5,ours_det,lcdb_det,lcdb_harm_det,vetted
42189,2001 CJ33,28.166,2,2.0,0.057,28.166,LCDB_native_rescale_below_cut,28.204433975407376,1.0,0.0013645521340401,(42189) 2001 CJ33,7.895210543814618,419.0,0.9745286877520912,True,0.0,,,,,,,,False
42195,2001 DO17,268.752,2,2.0,0.05,268.752,LCDB_native_TESS_disagrees,122.41830384766854,,0.0889868440222321,(42195) 2001 DO17,115.36175747903576,4279.0,0.1722460077237484,False,6.0,0.7272254122918556,0.7422607205469673,0.6198673132119377,0.7747498468549501,True,True,True,False
42196,2001 DE21,7.48,2,2.0,0.13,7.48,LCDB_native_rescale_below_cut,7.576136657755847,1.0,0.012852494352386,(42196) 2001 DE21,11.85029473893686,950.0,0.6990324165531233,True,17.0,,,,,,,,False
42205,2001 DT38,9.75923,2,2.0,0.057,9.75655881588521,TESS_precision_LCDB_harmonic,9.75655881588521,1.0,0.0002737084908123,(42205) 2001 DT38,21.32127315699387,1540.0,0.504642569362565,True,20.0,,,,,,,,False
42218,2001 DN59,32.263,2,2.0,0.07,32.263,LCDB_native_rescale_below_cut,32.29212029816377,1.0,0.0009025911466316,(42218) 2001 DN59,2.918408590665252,278.0,0.9082410523548784,True,0.0,,,,,,,,False
42237,2001 EG21,6.38,2+,2.0,0.057,6.38,LCDB_native_rescale_below_cut,3.51533330062761,2.0,0.1019853606983103,(42237) 2001 EG21,6.748780719391213,1572.0,0.9347543559852696,True,27.0,,,,,,,,False
42244,2001 FH65,3.71,2,2.0,0.249,3.71,LCDB_native,,,,,,,,,,,,,,,,,False
42245,2001 FB88,1.65,-,,0.1,1.65,LCDB_native_TESS_disagrees,6.880845498018502,,1.085104696369243,(42245) 2001 FB88,3.688946646175841,539.0,0.9314088022779972,True,3.0,0.9843988729942592,1.0105366214529754,1.0086543505937708,0.8800722829926712,False,False,False,False
42247,2001 FU156,3.304,2,2.0,0.057,3.304,LCDB_native,,,,,,,,,,,,,,,,,False
42256,2001 OA63,5.181,2,2.0,0.3,5.181926880558649,TESS_precision_LCDB_harmonic,5.181926880558649,1.0,0.0001788999341147,(42256) 2001 OA63,28.84014642245206,2203.0,0.7929862533380311,True,58.0,,,,,,,,False
