designation,n_points,n_points_before_rejection,n_outliers_rejected,n_visits,n_sectors,magnitude_H,period_hr,period_hr_naive,ls_power,naive_power,power_ratio,pk_over_med,pk_prom,pk_snr,max_phase_gap,fap,baseline_hr,n_cycles_observed,aov_F,amp_snr,loo_worst_chi2,n_phase_coverings,reliability_score,is_reliable,double_peaked,diameter_km_real,albedo_real,spec_type,published_rot_per_hr,min_snr,median_n_stack,frac_points_stacked,phase_angle_range_deg,wrote_clean_lc,period_quality,cell,has,believed
(124948) 2001 TV85,66,68,2,3,1,16.41,1.605570894216375,1.605570894216375,0.0271883669287443,0.130203103478436,1.0,7.384032750105001,1.3277861485522202,6.69226548253294,0.062194408728134,0.9942694346155182,397.36212120659184,247.48961421633817,1.646773659848935,1.9940120786066091,2.142544522046556,1.0,0.106024267708829,False,False,1.818,0.213,,,5.0,8.0,1.0,7.174194327292025,False,0.1162790697674418,n30_a1.5,False,False
(391021) 2005 SG236,94,95,1,5,1,18.23,24.5191095393783,12.25955476968915,0.0686588482488689,0.1317536183884597,1.0,8.244728626449316,1.257377697613552,6.85780534016627,0.0558652088359051,0.6418987657299011,529.0136454396998,21.57556515623419,2.7628040565387635,3.419591484071513,5.916769232440718,0.0,0.0089286736490093,False,True,,,,,5.0,9.0,1.0,12.498945019950373,False,0.05,n30_a1.5,False,False
(198520) 2004 XZ96,46,49,3,7,3,16.45,6.810362160193121,3.4051810800965603,0.127957974691569,0.2512555277041839,1.0,12.782833578756362,1.9932724341901908,11.39271345676973,0.0927448003013686,0.3638034579235993,1308.209117059072,192.0909764102729,2.137347355441901,1.719836917673456,1.3123836917508689,0.0,0.0540010328705305,False,True,3.51,0.047,,,5.0,35.0,1.0,13.22652113934626,False,0.0909090909090909,n30_a1.5,False,False
(66561) 1999 RW135,48,48,0,1,1,15.56,15.950673740923676,7.975336870461837,0.1257407049659143,0.2425813419000248,1.0,8.039119695024652,1.2674454957290984,7.159676140797091,0.0596047126256028,0.4945674512854632,66.16629355307668,4.148181740017529,1.6866477166819414,2.0197589530731737,,0.0,0.0597370897055666,False,True,,,,,5.0,6.0,1.0,0.0994657062495956,False,0.0909090909090909,n30_a1.5,False,False
(551753) 2013 JP36,54,54,0,4,1,15.66,3.394918187891262,1.697459093945631,0.0623829094997024,0.2782052065354993,1.0,11.087998965271012,1.6763712444764327,9.41264153149708,0.065761869865848,0.1134542433960727,515.3895339533337,151.81206303927624,1.9114136684363725,1.776294448545508,1.425663393189348,0.0,0.0035469670692505,False,True,,,,,5.0,25.0,1.0,2.4261329613976974,False,0.0,n30_a1.5,False,False
(133089) 2003 MQ8,53,53,0,5,2,15.41,3.0790233183986357,1.539511659199318,0.0658626458739746,0.2709593849746799,1.0,9.258405468940031,1.5870482799855188,7.591973310132875,0.0604246811217485,0.1831930384376948,2191.8796505556093,711.8749758918943,2.944243945359747,2.1968917490563524,0.518338914487201,0.0,0.0230700529981461,False,True,,,,,5.0,13.0,1.0,18.485985341678095,False,0.05,n30_a1.5,False,False
(736714) 2015 VO125,64,66,2,7,3,15.9,1.9301384163606776,0.9650692081803388,0.0124341621287054,0.2202305438123996,1.0,11.379045725679733,2.047251542389773,10.394651284804056,0.0865831772242141,0.1732246446039964,9722.52210281737,5037.214958474025,1.8198548264198775,1.6269786476196149,0.7949929810711897,0.0,0.0197548055561564,False,True,,,,,5.0,28.0,1.0,13.712845084065894,False,0.05,n30_a1.5,False,False
(191191) 2002 OY20,46,48,2,8,3,15.54,1.495990658930655,1.495990658930655,0.0627474617229736,0.2801499092595389,1.0,10.132450518612137,1.687651650623437,8.861585025878435,0.1043058742569187,0.2054358408677859,1664.9962060017278,1112.9723277763503,2.594582010606368,4.0729923146749725,2.166721457134734,0.0,0.003734978970113,False,False,,,,,5.0,51.0,1.0,13.633648333707738,False,0.0,n30_a1.5,False,False
(588559) 2008 GC86,41,41,0,6,2,16.43,3.0312893835101224,1.5156446917550612,0.0964669949247581,0.3558824553389709,1.0,10.433071161577582,1.807029421271644,8.956112540548606,0.1861216998217729,0.0619479932230693,1033.3975515378406,340.9102269019278,2.6174355602491777,2.89158279024278,3.4842106027261748,0.0,0.0029221043894108,False,True,,,,,5.0,32.0,1.0,14.81651550016683,False,0.0,n30_a1.5,False,False
(310642) 2002 CC221,44,46,2,8,3,16.98,1.942076508951726,0.971038254475863,0.067427052991595,0.1299697946344629,1.0,4.166687783210594,1.4403889966522456,5.002052029591919,0.1205592219962283,0.9998722471194954,1595.5646263902308,821.5766057803089,4.1413028748526814,3.405662374362238,2.1679291355574377,0.0,0.0120365585477297,False,True,,,,,5.0,29.0,1.0,15.865758861934236,False,0.05,n30_a3.0,False,False
(30652) 1236 T-1,88,88,0,3,2,15.59,4.763913310876258,2.381956655438129,0.0400643904173517,0.4387982967717685,1.0,30.07485424561366,2.6879348774713447,25.79413524329884,0.1252829706495106,2.3797898378168857e-08,163.67932286986616,34.3581656904163,4.162788005172409,4.672948946097098,2.4067232497334348,0.0,0.641109513520438,True,True,,,,,5.0,4.0,1.0,0.4010010659574092,True,0.6363636363636364,n30_a3.0,True,False
(216590) 2002 LC47,30,30,0,6,3,16.87,22.014427671400583,11.007213835700291,0.0831208975709328,0.4929570821646184,1.0,9.436233765801278,1.655918962875952,8.463383422420355,0.0870006091135228,0.0258171144302892,1695.8468337144004,77.03342821478442,4.830269452695118,2.50342428102555,1.145423037804819,0.0,0.0089620693633081,False,True,,,,,5.0,31.0,1.0,13.991777170773696,False,0.05,n30_a3.0,False,False
(92125) 1999 XP105,50,51,1,2,1,14.89,23.849585833295485,23.849585833295485,0.0913097735126623,0.2344774971131635,1.0,7.756171215534144,1.293902018544273,6.480160959829117,0.0885052056732795,0.3733286776819263,352.496877858066,14.779999968215748,5.309117047645669,3.682121897300591,,0.0,0.0066090543189499,False,False,,,,,5.0,12.0,1.0,2.0986340407291237,False,0.04,n30_a3.0,False,False
(73599) 3012 T-2,45,47,2,7,3,16.03,68.30393190423024,68.30393190423024,0.1094831887775868,0.2929769876442414,1.0,10.885167566631935,1.8649228975186345,9.63957386728736,0.1105324152523729,0.1526506376425366,1753.8967719470384,25.67783029542425,3.015546336572932,4.239147009358505,2.1440509589975973,0.0,0.003617830127278,False,False,1.549,0.352,,,5.0,27.0,1.0,10.703267594533855,False,0.0,n30_a3.0,False,False
(722307) 2005 NH81,32,32,0,4,1,16.39,1.953862096470384,0.976931048235192,0.0993922902774089,0.4256365926194362,1.0,8.175938614691235,1.425697408002102,7.129834940555349,0.1301408268886141,0.0845664799857946,527.1796598591027,269.81415976667085,3.228583367491552,3.613894713478688,1.5441239288068993,0.0,0.0052804212836769,False,True,,,,,5.0,34.0,1.0,7.356669137228013,False,0.04,n30_a3.0,False,False
(330317) 2006 UK55,31,32,1,7,3,17.3,2.676482568113875,1.3382412840569375,0.0663371937282381,0.4077249552662402,1.0,9.800148557512054,1.774411073089633,8.70558853910595,0.1456160546582157,0.1628024173801455,1561.1681325722602,583.2909771844395,5.721502825080143,3.0132318557136566,2.9104392929672023,0.0,0.0044461757623774,False,True,,,,,5.0,53.0,0.8125,20.854273378299915,False,0.0,n30_a3.0,False,False
2016 QN138,30,30,0,8,2,17.76,2.0183709706832023,2.0183709706832023,0.2141755627722689,0.4237616976722775,1.0,7.889833299674023,1.508654060196927,6.918299561928979,0.1363001112176851,0.1377665945207221,950.6018965277472,470.9748159952856,4.731298243617654,3.1341529931859577,1.8862324620298965,0.0,0.0050769785724144,False,False,,,,,5.0,56.0,1.0,14.791489077116106,False,0.04,n30_a3.0,False,False
(227012) 2004 XJ129,30,31,1,3,1,15.2,2.7444041673858655,1.3722020836929327,0.302986241583182,0.4314851097893173,1.0,9.746787862385718,1.6826730921741022,8.414592090885144,0.1511233292193282,0.0870567724047701,271.3308936059475,98.86695874842628,3.1020476660640477,2.2560052691001613,1.3542099127873408,0.0,0.0043535189673367,False,True,,,,,5.0,24.0,1.0,0.1155981435471957,False,0.0,n30_a3.0,False,False
(38034) 1998 QW57,38,40,2,4,2,14.16,2.3394426006758997,1.16972130033795,0.0638800873364424,0.2703994731937235,1.0,9.55835252524382,1.7702397666697571,8.850719463126765,0.1079326229682325,0.539245208045589,621.7426157402806,265.7652791142001,4.420618641923454,3.811191711801897,3.6265105927700945,0.0,0.0034719245666894,False,True,,,,,5.0,39.0,1.0,0.4632046950665867,False,0.0,n30_a3.0,False,False
(144159) 2004 BH100,49,50,1,4,1,16.14,2.0520177348621913,2.0520177348621913,0.1550455429298804,0.2416802616682263,1.0,9.432838296844787,1.531676768010792,8.468492014886738,0.0830571196826231,0.4246276261723316,578.6716294580838,282.0012808012822,3.1356700453062647,2.910615002134719,1.2333346205916755,0.0,0.0216327235109015,False,False,,,,,5.0,14.0,1.0,9.050363542952692,False,0.05,n30_a3.0,False,False
(356263) 2009 VO21,36,40,4,6,3,13.58,3.246179396702007,1.6230896983510037,0.0352365401729076,0.2232399500185008,1.0,7.997042387136473,1.6730890834751386,7.095498540286861,0.1055338529924449,0.9721778059213216,9639.69680314738,2969.551471166671,4.502446961586889,8.606389487873297,4.854243393157144,0.0,0.0030866219919706,False,True,,,,,5.0,22.0,1.0,7.627167985366487,False,0.0,n30_a3.0,False,False
(511996) 2015 KV129,31,31,0,8,1,17.41,1.317541660183358,1.317541660183358,0.2489362744630636,0.4232771123944452,1.0,7.825272482295982,1.516645325397194,6.799362010750621,0.1239947590775102,0.1222928295891961,579.0269652912975,439.4752612306135,4.875434806074025,4.799714015721024,1.0731566625318192,0.0,0.0022132225055372,False,False,,,,,5.0,66.0,1.0,4.7322978338196835,False,0.0,n30_a3.0,False,False
(315740) 2008 FK2,30,30,0,5,1,16.08,3.309402565058035,1.6547012825290175,0.2126263102900112,0.4279571382275632,1.0,9.515807170420244,1.4701379472573104,8.00551303803522,0.1493136976159649,0.1300445444194266,500.9332772098133,151.36667944204262,3.1198303765297553,1.5313053714979332,0.616448181369737,0.0,0.006216897547266,False,True,,,,,5.0,39.0,1.0,3.9655908500060018,False,0.04,n30_a3.0,False,False
(605021) 2016 AP36,37,37,0,8,3,18.02,20.195511555978268,10.097755777989134,0.0536056813889027,0.3877482875998224,1.0,10.213546849393168,1.593585045259669,8.919423937887252,0.1034250369884091,0.0692353969075709,1714.868544830941,84.91335018068933,3.0768005036457233,1.9886051273527992,1.2865015138353606,0.0,0.0035326080865439,False,True,,,,,5.0,29.0,1.0,18.227934555116384,False,0.0,n30_a3.0,False,False
