designation,period_hr,lcdb,p,red,amp,sens,verdict,period_new
(49672) 1999 RM103,9.298055785520482,4.648,0.1968037649469146,1.2117059246434996,0.1360199999999999,0.0790835235705123,halves = noise (LCDB likely right),4.649027892760241
(1928) Summa,13.709368191076305,6.8549,0.1944395620635466,1.2142213195682146,0.1709299999999999,0.0765227642590573,halves = noise (LCDB likely right),6.854684095538152
(886) Washingtonia,18.003739108357387,9.001,0.1713648920436427,1.2400255053900675,0.0372799999999999,0.0488133476842699,halves = noise (LCDB likely right),9.001869554178693
(17964) 1999 JY41,5.697082590729187,2.84811,0.1682581837510026,1.243692535055043,0.0891099999999999,0.0463800466969575,halves = noise (LCDB likely right),2.8485412953645937
(6139) Naomi,41.94054068763945,21.35,0.1621462921788067,1.251057534005305,0.1754999999999998,0.0296823761494674,halves = noise (LCDB likely right),20.970270343819724
(21599) 1998 WA15,25.297079426628713,12.651,0.1499839802552261,1.2663624837141982,0.3675499999999999,0.0677692327783782,halves = noise (LCDB likely right),12.648539713314356
(4628) Laplace,18.01352728891039,9.016,0.1441566908629773,1.274034312799193,0.09691,0.0289950166502025,halves = noise (LCDB likely right),9.006763644455194
(3313) Mendel,26.64670739420947,13.3354,0.1080337244995964,1.32794431219008,0.17139,0.0671829710303209,halves = noise (LCDB likely right),13.323353697104736
(29854) 1999 FK27,38.919809229111294,19.4156,0.0770049221810761,1.3875596930091858,0.11787,0.0937700753059055,halves = noise (LCDB likely right),19.459904614555647
(3709) Polypoites,20.078024843032075,10.039,0.076393398559107,1.3889227863705862,0.11348,0.0368282642289236,halves = noise (LCDB likely right),10.039012421516038
(3793) Leonteus,11.239605757373134,5.621,0.0723190935506984,1.3982465372608863,0.05822,0.0865456011552551,halves = noise (LCDB likely right),5.619802878686567
(1583) Antilochus,31.49762757580738,15.759,0.0677380909763177,1.4092756521050092,0.06646,0.0308473477452076,halves = noise (LCDB likely right),15.74881378790369
(1736) Floirac,13.560561743582396,6.775,0.0659049337770497,1.413867179484686,0.1478999999999999,0.028341299293672,halves = noise (LCDB likely right),6.780280871791198
(19911) Rigaux,4.6547190871798385,2.3274,0.0537649348140868,1.4473764208134223,0.1841800000000001,0.088656556204441,halves = noise (LCDB likely right),2.3273595435899193
